Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
ON168742.1,Bovine kobuvirus,BKV14/2021/CHN,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON595848.1,Feline kobuvirus,FPV-1,Aichivirus A,Kobuvirus,Australia,Felis catus,0,2017,0
ON595849.1,Feline kobuvirus,FPV-2,Aichivirus A,Kobuvirus,Australia,Felis catus,0,2017,0
ON595850.1,Feline kobuvirus,FPV-3,Aichivirus A,Kobuvirus,Australia,Felis catus,0,2017,0
ON595851.1,Feline kobuvirus,FPV-4,Aichivirus A,Kobuvirus,Australia,Felis catus,0,2017,0
ON595852.1,Feline kobuvirus,FPV-9,Aichivirus A,Kobuvirus,Australia,Felis catus,0,2017,0
ON730709.1,Bovine kobuvirus,,Aichivirus B,Kobuvirus,China,Bos taurus,0,2021,0
ON792975.1,Porcine kobuvirus,SP-VC4,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
ON792976.1,Porcine kobuvirus,SP-VC18,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
ON792977.1,Porcine kobuvirus,SP-VC36,Aichivirus C,Kobuvirus,Spain,Sus scrofa,0,2017,0
OP093966.1,Canine kobuvirus,PK02,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,0,2019,0
OP093967.1,Canine kobuvirus,PK01,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,0,2019,0
OP093968.1,Canine kobuvirus,PK04,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,0,2019,0
OP094599.1,Bamboo rat kobuvirus,B45M02,Bamboo rat kobuvirus,Kobuvirus,China,Rhizomys pruinosus,0,2019,0
OP255993.1,aichivirus A1,,Aichivirus A,Kobuvirus,Netherlands,Homo sapiens,0,2018,0
OP287812.1,Eidolon dupreanum kobuvirus,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,1,2018,0
OP376931.1,Caprine kobuvirus,CKoV-China/SWUN/B12/2022,Aichivirus C,Kobuvirus,China,Capra hircus,0,2021,0
OP776109.1,Aichivirus D,BKV/Yak/SCDF77/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,0,2021,0
OP776110.1,Aichivirus D,BKV/Yak/QHHN16/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,0,2021,0
OP776111.1,Aichivirus D,BKV/Yak/XZNQX7/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,0,2021,0
OP805596.1,Aichivirus B,Calf 300917/2021,Aichivirus B,Kobuvirus,Italy,Bovidae,0,2021,0
OP805597.1,Aichivirus B,Bovine_59254_2/21 TR,Aichivirus B,Kobuvirus,Italy,Bos taurus,0,2021,0
OP805598.1,Aichivirus B,Bovine_59254_11/21 TR,Aichivirus B,Kobuvirus,Italy,Bos taurus,0,2021,0
OP920760.1,Capreolus pygargus kobuvirus,CpKoV/XK/CHN/2021,Capreolus pygargus kobuvirus,Kobuvirus,China,Capreolus pygargus,0,2021,0
OQ121963.1,aichivirus A1,hu/C8_Seoul_02/2019,Aichivirus A,Kobuvirus,South Korea,Homo sapiens,0,2019,0
OQ267712.1,Aichivirus D,BKV/cow/NXC1/2021/CHN,Aichivirus D,Kobuvirus,China,Bos taurus,0,2021,0
OQ363763.1,Aichivirus A,GX/B45M0208/2019,Aichivirus A,Kobuvirus,China,Rhizomys pruinosus,0,2019,0
OQ595081.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Croatia,Sus scrofa,0,2017,0
OQ758029.1,Kobuvirus sp.,,Kobuvirus sp.,Kobuvirus,Hungary,Capra hircus,0,2020,0
OQ808805.1,Caprine kobuvirus,CKoV-China/GCCDC14/2019,Aichivirus C,Kobuvirus,China,Capra hircus,0,2019,0
OQ818322.1,Eidolon dupreanum kobuvirus,KEL318,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,1,2019,0
OR682616.1,Caprine kobuvirus,Caprine/SWUN/F1/2022,Aichivirus C,Kobuvirus,China,Capra hircus,0,2022,0
OR682617.1,Caprine kobuvirus,Caprine/SWUN/F2/2022,Aichivirus C,Kobuvirus,China,Capra hircus,0,2022,0
OR867088.1,Kobuvirus sp.,MSJDC22/7654,Kobuvirus sp.,Kobuvirus,China,Miniopterus schreibersii,1,2022,0
OR867090.1,Kobuvirus sp.,SKYHG15/6,Kobuvirus sp.,Kobuvirus,China,Scotophilus kuhlii,1,2015,0
OR951211.1,Bat kobuvirus,GX2018,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2018,0
OR951219.1,Bat kobuvirus,HI2018,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2018,0
OR951222.1,Bat kobuvirus,YN2020,Bat kobuvirus,Kobuvirus,China,Rhinolophus affinis,1,2020,0
OR951245.1,Bat kobuvirus,HI2019,Bat kobuvirus,Kobuvirus,China,Rhinolophus affinis,1,2019,0
OR951250.1,Bat kobuvirus,GD2017,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2017,0
OR951253.1,Bat kobuvirus,GD2018_174_30389,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2018,0
OR951256.1,Bat kobuvirus,GD2018_174_126198,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2018,0
OR951260.1,Bat kobuvirus,GD2018_176_172338,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2018,0
OR951262.1,Bat kobuvirus,GD2018,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2018,0
OR951267.1,Bat kobuvirus,GX2017,Bat kobuvirus,Kobuvirus,China,Scotophilus kuhlii,1,2017,0
OR951280.1,Aichivirus F,GD2017_210_473,Aichivirus F,Kobuvirus,China,Myotis ricketti,1,2017,0
OR951282.1,Aichivirus F,GD2017_210_5247,Aichivirus F,Kobuvirus,China,Myotis ricketti,1,2017,0
OR951330.1,Aichivirus F,JX2020,Aichivirus F,Kobuvirus,China,Myotis adversus,1,2020,0
OR951344.1,Aichivirus F,GD2017_279_5575,Aichivirus F,Kobuvirus,China,Myotis chinensis,1,2017,0
OR951348.1,Aichivirus F,GD2016,Aichivirus F,Kobuvirus,China,Myotis fimbriatus,1,2016,0
OR951363.1,Bat kobuvirus,LN2020,Bat kobuvirus,Kobuvirus,China,Rhinolophus ferrumequinum,1,2020,0
OR951364.1,Bat kobuvirus,LN2020_328_33437,Bat kobuvirus,Kobuvirus,China,Rhinolophus ferrumequinum,1,2020,0
OR951365.1,Bat kobuvirus,LN2020_329_62009,Bat kobuvirus,Kobuvirus,China,Rhinolophus ferrumequinum,1,2020,0
PP766449,Eidolon dupreanum kobuvirus,ANG22,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,1,2013,1
PP766451,Eidolon dupreanum kobuvirus,ANGB110.1,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,1,2015,1
PP766456,Eidolon dupreanum kobuvirus,KEL86,Eidolon dupreanum kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,1,2014,1
