Accession,Organism_Name,Isolate,Species,Genus,Family,Country,Host,Collection_Date
NC_038308.1,enterovirus D68,,Enterovirus D,Enterovirus,Picornaviridae,USA,,
NC_038319.1,Human parechovirus 1,,Parechovirus A,Parechovirus,Picornaviridae,,,
NC_025474.1,Crohivirus A,,Crohivirus A,Crohivirus,Picornaviridae,Zambia,Crocidura hirta,12-May
NC_030454.1,enterovirus A114,,Enterovirus A,Enterovirus,Picornaviridae,India,Homo sapiens,2013-09-09
NC_038309.1,Simian enterovirus SV4,,Enterovirus H,Enterovirus,Picornaviridae,,,
NC_038317.1,Kunsagivirus A,,Kunsagivirus A,Kunsagivirus,Picornaviridae,Hungary,Coracias garrulus,11-Jul
NC_028970.1,Avisivirus Pf-CHK1/AsV,,Avisivirus Pf-CHK1/AsV,Avisivirus,Picornaviridae,Hungary,Gallus gallus,2013
NC_034245.1,Bovine rhinovirus 1,,Bovine rhinovirus 1,Aphthovirus,Picornaviridae,USA,,
NC_038303.1,Bovine rhinitis A virus,,Bovine rhinitis A virus,Aphthovirus,Picornaviridae,Germany,Bos taurus,1962
NC_001490.1,rhinovirus B14,,Rhinovirus B,Enterovirus,Picornaviridae,,,
NC_038312.1,rhinovirus B3,,Rhinovirus B,Enterovirus,Picornaviridae,USA,,
NC_001617.1,Rhinovirus A,,Rhinovirus A,Enterovirus,Picornaviridae,,,
NC_038311.1,rhinovirus A1,,Rhinovirus A,Enterovirus,Picornaviridae,,,
NC_009996.1,Rhinovirus C,,Rhinovirus C,Enterovirus,Picornaviridae,Hong Kong,,
NC_025890.1,torchivirus A1,,Torchivirus A,Torchivirus,Picornaviridae,Germany,Testudo hermanni,2004
NC_033818.1,Kunsagivirus B,,Kunsagivirus B,Kunsagivirus,Picornaviridae,Cameroon,Eidolon helvum,13-Dec
NC_033819.1,Crohivirus B,,Crohivirus B,Crohivirus,Picornaviridae,Cameroon,Eidolon helvum,13-Dec
NC_055159.1,tottorivirus A1,,Tottorivirus A,Tottorivirus,Picornaviridae,Japan,Sus scrofa domesticus,2015
NC_003990.1,tremovirus A1,,Tremovirus A,Tremovirus,Picornaviridae,,,
NC_025432.1,Chicken orivirus 1,,Orivirus A,Orivirus,Picornaviridae,Hungary,Gallus gallus,2013
NC_038318.1,Mouse Mosavirus,,Mosavirus A,Mosavirus,Picornaviridae,USA,Peromyscus crinitus,2010
NC_018226.1,Pasivirus A1,,Pasivirus A,Pasivirus,Picornaviridae,France,Sus scrofa,2010
NC_043072.1,Bat picornavirus BatPV/V1/13 Hun,,Mischivirus B,Mischivirus,Picornaviridae,Hungary,Miniopterus schreibersii,2013
NC_034385.1,Cosavirus F,,Cosavirus F,Cosavirus,Picornaviridae,Pakistan,Homo sapiens,2007
NC_012798.1,Cosavirus E,,Cosavirus E,Cosavirus,Picornaviridae,Australia,Homo sapiens,1981
